"","Messy text"
"26","#SanjayLeelaBhansali suffers 3rd degree burn after this #sarcastic post by Bharat Dhabolkar: ＃ pic.twitter.com/6fiNxgmTbQ"
"27","#SanjayLeelaBhansali suffers 3rd degree burn after this #sarcastic post by Bharat Dhabolkar: http://bit.ly/1OBvjMc<U+00A0> pic.twitter.com/1WADJdBCQl"
"28","hope I never run in to you
#Sarcastic"
"29","I'M LEGIT NOW BITCHES!!!!!1!!!!11!!!

#sarcasm #sarcastic #fuck @tedvaland pic.twitter.com/4gtZ8Ly2G1"
"30","When people ask me if getting a tattoo hurts...nope, I actually love the feeling of a needle ripping through my skin#sarcastic"
"31","My floor always smells like fresh herbs #Sarcastic tweet"
"32","I should be packing. But we all know how much I love packing #not #sarcastic tweet"
"33","Are you a #sarcastic person? Here are a few things you should know about the sarcastic #personality type!: http://bit.ly/1XBGxG5<U+00A0> #Fun"
"34","Are you a #sarcastic person? Here are a few things you should know about the sarcastic #personality type!: http://bit.ly/1XBGxG5<U+00A0> #Fun"
"35","Are you a #sarcastic person? Here are a few things you should know about the sarcastic #personality type!: http://bit.ly/1XBGxG5<U+00A0> #Fun"
"36","Well This year just keeps getting better & better #sarcastic tweet "
"37","http://babajiindiawaale.blogspot.in/<U+00A0>
 #Sarcastic take on 24*7 #News channels and #media #trials 
#Media420"
"38","@JanRomes
NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃ ＃ "
"39","We're still in the game. Only down by 3. #packers #sarcastic"
"40","Mens #Sarcastic Comment 'Loading' #Tshirt, teal. http://bit.ly/1LcCS8w<U+00A0>"
"41","@HollyHamy DAMN SHE SANG SO GOOD LOL #sarcastic #pooralex"
"42","I hope people get that a couple of comments I made in response to news are #sarcastic."
"43","Just restocked! These #socks have something special for all of your #sarcastic loved ones! #ihateeveryonetoo #shopBM pic.twitter.com/gZpT2LN8Dr"
"44","#LoL #sarcasm being #sarcastic pic.twitter.com/Mty2c5py9N"
"45","@Buseireann arrived at 202 stop at 4:10, bus comes at 5:20. Superb service yet again. So worth the extra 10c, #sarcastic"
"46","No Sweat Pants Allowed - Wine Club!  #sassy #sarcastic #warm #funny http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=sr_1_1?ie=UTF8&qid=1422483908&sr=8-1&keywords=No+Sweat+Pants+Allowed+-+Wine+Club<U+00A0>＃ ＃ http://twitter.com/JanRomes/status/560566618259197952/photo/1pic.twitter.com/eKm2iocqiW<U+00A0>＃  "
"47","@olinj Let your Gen X flag fly high #cynical #jaded #sarcastic #pragmatic"
"48","@buenaluck thanks for finally telling me  not too late to get a plane ticket! #Sarcastic"
"49","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"50","sky looks like sweet cotton candy, it mocks my bitter life <f0><U+009F><U+0099><U+0083><f0><U+009F><U+0099><U+0083><f0><U+009F><U+0099><U+0083> #life #laugh #love #greatday #great #lol #sarcastic ＃ pic.twitter.com/XZq5odCe5R"
"51","#Naughty #humor #Funny gamble on a fart and

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/mNesmYDmbT"
"52","@RorateCaeli No he's not. #sarcastic"
"53","#Naughty #humor #Funny Bras for sale

#NaughtyHumor, #Funny, #sarcastic, #FunJokes, #Fun＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/HBGumcThf5"
"54","@DracoDoclean I was very #Sarcastic. Putin is the only one doing what everyone else should be doing: exterminate the #Isis vermin"
"55","#pafeymus #famewhore #sarcastic lol but srsly you may, just in case we don't have bad blood."
"56","@faultysivan @KUHLSIVAN lol get it cause ur wearing TRXYE lol pls don't think I'm being #rude I'm being #sarcastic ok ily"
"57","I have a feeling that the UK will be a much safer place after this.
#sarcastic https://twitter.com/BBCNews/status/672326981212618752<U+00A0>＃"
"58","#sarcastic 
04. Unpredicted things happen to predicted persons because he always expect the things as predicted..."
"59","@Mysterious_1050 but but I thought batman and superman were going to fight the entire movie... Kinda made now #sarcastic"
"60","Intolerance is on peak!<f3><U+00BE><U+008C><U+00AA><f3><U+00BE><U+008C><U+00B4>

#Sarcastic http://fb.me/3HONqx7Zv<U+00A0>"
"61","Being #sarcastic on a regular basis can add up to 3 years to your life. Sarcasm is extremely healthy for the mind."
"62","Oh this is soooo me!!! #sarcastic #imabitch #takemeorleaveme #melsyouniquelife #yepitsme https://www.instagram.com/p/-0PLJTrfNS/<U+00A0>"
"63","I  school:)#sarcastic"
"64","Who keeps assault rifles, pipe bomb makings and ski masks available JUST in case your co-workers call you a cunt?! #Sarcastic"
"65","Sometimes, exclamation marks (!) Come off as #Sarcastic:  https://twitter.com/realdonaldtrump/status/672203184069300224<U+00A0>＃"
"66","#Sarcastic and proud. Respect my #smartass #attitude pic.twitter.com/lB9LvJGsZJ"
"67","Seems appropriate. Good timing. Clearly, their PR dept has the optics right. #sarcastic  https://twitter.com/WithCoDean/status/672206885341298688<U+00A0>＃"
"68","They should sit back and do nothing about Isis #Sarcastic"
"69","If you're having second thoughts, you're 2 ahead of most people.  #sarcastic"
"70","Reports that Obama is briefed on #SanBernardo shootings...I feel safer already #sarcastic"
"71","@JayZawaski670 i thought the plan to fight all of the shooters was for everyone to get their own gun? #Sarcastic"
"72","My thoughts for today. #mythoughts #mysaturday #smartass #wiseass #sarcasm #sarcastic #awsome＃ https://www.instagram.com/p/-zZ6JEIWj8/<U+00A0>"
"73","@nour_bakr so give isis safe zones with thousands of human sheilds to hide in. Great plan #sarcastic #SyriaVote"
"74","@cassaroleee thank you!!!! #sarcastic #Ahole #goterps"
"75","I just love being sick...#sarcastic"
"76","""I apologize judge, I was so excited about driving to #downtownLA that I spent an hour doing it. Yes that was #sarcastic."" #tsl #humor"
"77","10 actual reasons being #sarcastic is the best http://m.huffpost.com/us/entry/565487f5e4b0879a5b0c7099<U+00A0>＃ via @HPLifestyle #FinallySomeoneUnderstandsMe"
"78","I'm the best person! #sarcastic #awesomeness https://twitter.com/healthyliving/status/672076860847759360<U+00A0>＃"
"79","No Sweat Pants Allowed - Wine Club!  #sassy #sarcastic #warm #funny http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=sr_1_1?ie=UTF8&qid=1422483908&sr=8-1&keywords=No+Sweat+Pants+Allowed+-+Wine+Club<U+00A0>＃ http://twitter.com/JanRomes/status/560566618259197952/photo/1pic.twitter.com/eKm2iocqiW<U+00A0> "
"80","@helixion12 thanks for the follow back. HUGE Denver! fan #sarcastic  inpatient #atheists  we should get along fine. p.s pothead"
"81","@addiestratt ooooh, hashtags on headstones opens up all sorts of fun possibilities!!! #loved #sarcastic #fatheroftwo"
"82","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"83","I'd pay whatever needed to not have rain/snow on my eyeglasses and have them fog up in winter. The struggle is real. #sarcastic"
"84","@RWSurferGirl very true , im concerned we might be killed by Climate change more than ISIS 
#sarcastic"
"85","Finding a girl is easy, 
but a  #sarcastic girl , with #good_music taste and #humour is too difficult. -_-"
"86","@SuzanneBoyd He is still running?  #sarcastic tweet"
"87","""who gives their child a snake wen they ask them for fish""?
jesus said this while looking at a man to looked like a chinese
#sarcastic"
"88","Im just not interested about your existence, Don't ruin my life weirdo.

 #Hard #Sarcastic #Sarcsm #Joke #Kidding"
"89","Let＊s all be as crazy as #PlannedParenthood supporters, let＊s murder babies when women are raped and rationalize justice done. #Sarcastic"
"90",".@SpringleafFincl Only 25% APR? Sign me up! #Sarcastic pic.twitter.com/6iYzPzJ3nD"
"91","A ""you're gay"" @venmo fake comment - either homophobic or a poor attempt at seeming #cool and #sarcastic i.e. #FAIL pic.twitter.com/y4ib9APV7h"
"92","Oh yes, that cigarette will defiantly help you parallel park #Sarcastic #not #parking"
"93","#Sarcastic bc it's NOT FUCKING FRIDAY pic.twitter.com/NcPeBzLHzE"
"94","people who get my perverted and crazy sense of humor are my favorite kind of people  lmao #Sarcastic #Sassy"
"95","The China Doll known as Lupul is hurt again. Shocker. #sarcastic #TMLtalk"
"96","Lol they crack me up tho. 
#sarcastic"
"97","Oooohhhhh mmmyyyyyy  little sarcastic meeeee #lol #lmfao #haha #joke #sarcastic #sarcasm @＃ https://www.instagram.com/p/-w88N3TQPs/<U+00A0>"
"98","Happy birthday to best baseball player in the world#sarcastic pic.twitter.com/yT5lcirJOG"
"99","Here's a sad story. Once upon a time a man was born. 80 years later he died. Like this if you cry every time.
#sad #sarcastic #lol"
"100","Apparently stabbing birds with needles cures them of anything. #ThingsILearnedFromVideoGames #sarcastic"
"101","#repost #love this Stephani .. #silly #sarcastic #sassy #sagittarius #super lol oh yea I'm #smart https://www.instagram.com/p/-wu9-XQQ06/<U+00A0>"
"102","<f0><U+009F><U+0099><U+0083> this is one of the best emojis ever #sarcastic"
"103","Oh dressing up is a crime . I see #sarcastic"
"104","MJ  RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful #KindleUnlimited http://w... http://bit.ly/1IAS9gi<U+00A0>"
"105","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"106","#Sarcastic people tend to be more honest and upfront with their friends. <f0><U+009F><U+0099><U+0084>"
"107","You sure? I've been know to be a bit #sarcastic @TheYumYumFoodie #nofilter"
"108","Happy 1st of December fuckers!!! ha ha I'm gonna have the most #sarcastic #Christmas possible I reckon this year!"
"109","Its so nice to see Obama so passionate on Climate Change i was beginning to think he had no priorities at all 
#Sarcastic 
#ImpeachObamaNow"
"110","If u dont want me to be #sarcastic...then THINK and spread #climatejustice materials urself online.  Dont need my permission! :/ #COP21Paris"
"111","I Heart tracking my hours...

All December is #sarcastic #Freelance #Post-It #webcomics at CLICKittyCAT pic.twitter.com/3sFk8lN3Na"
"112","I Heart not having competition...

All December is #sarcastic #Freelance #Post-It #webcomics at CLICKittyCAT pic.twitter.com/1kVBg5xRxR"
"113","Locked unit on my Friday! AWESOME' #sarcastic #fuckmylife"
"114","I swear I always pick the best days to get up early. #sarcastic #fulldayaheadofme"
"115","This pretty spot on! <f0><U+009F><U+0099><U+0083>#itsmylife #emoji #gina #sarcastic #grumpycat #aintnobodygottimeforthat https://www.instagram.com/p/-v8WHxuEqF/<U+00A0>"
"116","Nice of @ee to help click scammers PM Connect to defraud their customers. Such brilliant support too. 
#sarcastic"
"117","Why Lok Sabha is getting intolerant towards Rahul Gandhi's Speech.... #Sarcastic #MakesMeCurious ...... Hail #ManOfActionModi"
"118","Morning Twitter, Off to School yay... #sarcastic #hateschool Dx"
"119","Being sarcastic in all of my #online #dating #profiles without actually saying I am #sarcastic. Of course the sarcastic fucks don't get it."
"120","@leicester_edits people do realise I said this when lcfc were flying. #sarcastic"
"121","I got a #smart #ass #mouth but I'm #faithful & #honest. I'm #sarcastic but I'm #loving &＃ https://www.instagram.com/p/-vNfzrQPZ-/<U+00A0>"
"122","Preparing for school. #poorimagequality #sarcastic #IDC pic.twitter.com/wT1iEW3UFh"
"123","Before I open my '#lovehoroscope' email I have taken to muttering 'this'll be good' & then reading it in as #sarcastic a tone as possible."
"124","Since we all know the ※snow§ posts are going to start tonight. I figured I would just jump right in. #sarcastic pic.twitter.com/2yIXvHzJY8"
"125","@FoxNews Time to send @megynkelly off to MSNBC or some such place Becoming increasingly difficult to watch #smug #condesending #sarcastic"
"126","@NFL_MNF wow you guys are on fire with the Monday Night games this season #ClevelandClowns #sarcastic"
"127","Lol ""@ChieflySarcastc: You'd think when I intentionally put sarcastic in my name people would get it but nah. Must add a #sarcastic hashtag"""
"128","You'd think when I intentionally put sarcastic in my name people would get it but nah. Must add a #sarcastic hashtag"
"129","@imacelebrity, I don't think you have enough adverts during each programme, why not add a few more?? #ImACeleb #sarcastic #FFS"
"130","#eastenders I've got a feeling Ronnie and roxy are sisters I'm not 100% sure because they never mention it #sarcastic"
"131","@PremierNotley if farming was hard, they'd be too busy to rally...#AmIRight? #Bill6 #sarcastic"
"132","Oh yeah it's #CyberMonday today. How silly do I feel relaxing at Forum Health Spa offline all day #Sarcastic moi? "
"133","@lamblock They're not serious, I can tell. #sarcastic"
"134","Passive aggressive subtweets are the absolute best for making your case stronger #sarcastic"
"135","yup, basically. #iamwhoiam #flirting #sarcastic pic.twitter.com/NLtUmp0ieR"
"136","@BIGMagicChannel an awesome channel.  specially  @Iamkavitak you are really  above all. 
#sarcastic #entertainment"
"137","Wow. Thank you so much #PLDT #sarcastic <f0><U+009F><U+0099><U+0084><f0><U+009F><U+0099><U+0084><f0><U+009F><U+0099><U+0084> pic.twitter.com/9jV6GhIubX"
"138","stuck between sleeping late or not sleeping at all. thankyou #TheWalkingDead for making me choose from these options #sarcastic #butiloveit"
"139","Malay:qoute tweetini dgn pengorbanan cinta anda. Chinese & indian : studying or sleeping while dreaming abt study. #melayuboleh #sarcastic"
"140","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"141","The great #Indian #culture of #love: Being #Sarcastic http://babajiindiawaale.blogspot.in/<U+00A0>  
Indian love story start from #heart and ends with #horoscope"
"142","I'd love to NOT be #sarcastic for once... but frankly, you're just asking for it.
#EveryTimITalkToAnIdiot #TrueStory"
"143","@TheMinimalistIn does a #sarcastic series on the #startup scene in #India :-) via @pixelfiesta http://www.theminimalist.in/blog/Honest-Startups<U+00A0>＃"
"144","#Forgot how much I #love being #sarcastic <U+FE0F>"
"145","Even when you think that I'm #Mean #Strong #Independant #Sarcastic and whatever ... Yes and perhaps ~~~ But I have my weak points"
"146","Bwaha! It's funny when people ask you about marriage. #Quora #sarcastic #morning . :D pic.twitter.com/bSjCwW2s4g"
"147","20 meters in daddy Long legs #bigaccoplishment #sarcastic pic.twitter.com/ZfbobNbFi5"
"148","Impossible. This game isn't being played in Philly. #sarcastic https://twitter.com/ericfisher/status/671184583182950400<U+00A0>＃"
"149","Ya know this is nice #sarcastic"
"150","A lot of sick people out there, too bad they're not funny! #Sarcastic  https://twitter.com/AP/status/671164432681160704<U+00A0>＃"
"151","I go on last at the open mic. I'll call it a headlining set. #sarcastic"
"152","Sometimes I feel like Will Ferrell in a woman's body #sarcastic"
"153","Congrat's to the Edmonton Oilers on winning the Grey Cup #Sarcastic"
"154","@kailee247 Was that supposed to be #sarcastic"
"155","#Sarcastic but not #fantastic @ChrisCrocker"
"156","When you can't tell if someone is being #sarcastic "
"157","@think_noodles huh i didn't know its your birthday #sarcastic"
"158","Ngaw. That was awesome. #sarcastic"
"159","#LordDisick is #crazy but oh so #entertaining! #sarcastic"
"160","A #Sarcastic Girl's Tips for Finding & Keeping a #FuckBuddy - http://sluttygirlproblems.com/column/get-keep-fuck-buddy/<U+00A0>＃ pic.twitter.com/aXgntQhwuz"
"161","@galacticohd u're really #sarcastic"
"162","I have the best luck with 99.9% of everything I do #sarcastic"
"163","Over 100+ Hip Gifts For Haters at https://www.pinterest.com/iihih/hip-stuff-for-haters/<U+00A0>＃ #sarcastic #christmasgifts #bitter #haters #misanthropes #hipster #xmasgift"
"164","Like Seriously man... #sarcasm #sarcastic  https://twitter.com/thefunnyteens/status/648006949796188160<U+00A0>＃"
"165","On #alert: If you know me, fall back today. I am being #difficult #combative #sarcastic and down right #messy. So yeah - no, don't do it..."
"166","Sarcastic humor is the best thing sometimes#sarcastic #funny"
"167","Retweeted Jan Romes (@JanRomes):

NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful... http://fb.me/tgXuJOof<U+00A0>"
"168","Retweeted Jan Romes (@JanRomes):

NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful... http://fb.me/1ta0wtwAG<U+00A0>"
"169","@mainlinecoaches nice of your coach driver to slow down when driving through floods on the M4. #Sarcastic"
"170","Spending the rest of my Sunday #blogging. Have lots to catch up @RealRealityMag ;-) #sarcastic #humor #reality #television"
"171","I'm so excited for this 5hr drive to brownwood. <f0><U+009F><U+00A4><U+0097>  #sarcastic"
"172","Did someone ever said someone STOP FOLLOWING ME in your life in sarcastic way, Serious, or in funny way.
#funny #sarcastic #serious"
"173","RT @JanRomes
NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"174","#sarcastic 03. After the summons 4 the maggi ad campaigners ; the government should release WANTED for Fair n Lovely for similar misleading."
"175","#AllahuQuackbar #sarcastic humor: http://youtu.be/cZlktJu6Khs<U+00A0> makes #suicide #terrorist like #ISIS #hamas #BokoHaram and #baclatan ridiculous"
"176","#Naughty #humor #Funny Just mind your busin

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/oC901EhQox"
"177","I wish I took a screenshot of it for a slightly grim remembrance, maybe? #sarcastic"
"178","@FutballTweets really?! Never knew he played non league football #Sarcastic #NeverKnewThat"
"179","""our"" allies are such nice people right? keep selling them arms, will definitely be for peace #sarcastic  https://twitter.com/MintPressNews/status/670799391372869632<U+00A0>＃"
"180","I love being a #sarcastic #bitch
#sarcasm
#sarcasmrocks pic.twitter.com/UqUBqyibG8"
"181","@Copnorcopia I would agree. ( In fact I agree with almost everything you tweet; it's always common sense and of good taste. #Sarcastic)"
"182","@daviddunny8 Thanks for coming over and clapping the fans #topbloke #sarcastic"
"183","""Back from beyond the grave, and he still won't pay child support! Undead deadbeat dads, next on Sick, Sad World."" #daria #mtv #sarcastic"
"184","#Naughty #humor #Funny Too many to count＃

#NaughtyHumor, #Funny, #sarcastic, #FunJokes,＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/bPTpjFjNAz"
"185","So typical! #sarcastic  https://twitter.com/DellengerAdv/status/670860201319264257<U+00A0>＃"
"186","People who are tweeting about Shaun Marsh, I love you all. I literally LOL over some of them #hilarious #sarcastic #AussieHumour :)"
"187","I knew I was constantly #sarcastic for a reason. lol #sarcasm #fact #TheMoreYouKnow  https://twitter.com/WhatTheFFacts/status/670864026507853824<U+00A0>＃"
"188","Shits gay. Hahah. #sarcastic"
"189","@SanJoseSharks oh this is going to be a close one. #sarcastic"
"190","#Naughty #humor #Funny Unfriended

#NaughtyHumor, #Funny, #sarcastic, #FunJokes, #FunnyI＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/Bm1s64NXj7"
"191","Never talk to people who don't want to talk with you #sarcastic"
"192","I always deal with SUCH #RUDE #customer #service representatives when dealing with @Bell. #Condescending, #sarcastic and #dismissive."
"193","My life is very exciting right now. #sarcastic #recovery"
"194","Man this NHL Centre play by play is the bomb #sarcastic "
"195","Just being #Sarcastic ... @Espenel @nancyrubin Well sort of. Check out the #Twister spinner. pic.twitter.com/8tbF6ubFmO"
"196","Hope that missed extra point doesn't come back to haunt #OU #sarcastic"
"197","i can't wait to get home and feel bored of halesworth again <3 #not #even #bein #sarcastic"
"198","#lol #funny #true #truth this so #me 
#sarcasm #sarcastic https://instagram.com/p/-piV1HH2sd/<U+00A0>"
"199","Well, if Chief O'Hara couldn't find him, then no one can. #SARCASTIC #metvbatman"
"200","brunette and clearly thrilled #sarcastic pic.twitter.com/nS7iHx4V1Q"
"201","cant wait for ann doyle! #sarcastic #RayDarcyShow"
"202","New #quote : Actually my fave emoji. #sarcastic #emoji #littlecunt #loveit #quotes #quote by stacylee_od http://flic.kr/p/BuHyFn<U+00A0>"
"203","Obviously, there is nothing to see here! #sarcastic #smh @Thund3rStruckk @GreggwilsonB @gawdduss @GenGSPatton"
"204","#takashimurakami #500arhats impressive #artwork and he is such a #hilarious & #sarcastic #artist -... http://tmblr.co/ZtX-Ix1yxXJFy<U+00A0>"
"205","#takashimurakami #500arhats impressive #artwork and he is such a #hilarious & #sarcastic #artist -＃ https://instagram.com/p/-pBzBDsMjx/<U+00A0>"
"206","Fellaini is the option I expect ...... #surprise #sarcastic #clueless"
"207","Now how did that Syrian Refugee make it into the US, get to Colorado & shoot up the Planned Parenthood office? #Sarcastic #YouBet"
"208","Pregame we are #housedivided #sarcastic #trashtalking yet #family.   Let's see what postgame looks＃ https://instagram.com/p/-otaGswPng/<U+00A0>"
"209","No Sweat Pants Allowed - Wine Club!  #sassy #sarcastic #warm #funny http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=sr_1_1?ie=UTF8&qid=1422483908&sr=8-1&keywords=No+Sweat+Pants+Allowed+-+Wine+Club<U+00A0>＃ ＃ http://twitter.com/JanRomes/status/560566618259197952/photo/1pic.twitter.com/eKm2iocqiW<U+00A0>＃  "
"210","@Not606_TheGas we need a big target man.....#sarcastic"
"211","#Naughty #humor #Funny I like dat shit.

#NaughtyHumor, #Funny, #sarcastic, #FunJokes, #＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/0KqJKEWq2h"
"212","#Naughty #humor #Funny You see what I see?

#NaughtyHumor, #Funny, #sarcastic, #FunJokes＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/H41AzkaSW0"
"213","#Naughty #humor #Funny What＊s For Thanksgiv

#NaughtyHumor, #Funny, #sarcastic, #FunJoke＃ http://twitter.com/Naughty_Humor<U+00A0> pic.twitter.com/UZODj4b4Kc"
"214","RT @JanRomes NO SWEAT PANTS ALLOWED - WINE CLUB #sassy #funny #sarcastic #joyful  #KindleUnlimited  http://www.amazon.com/No-Sweat-Pants-Allowed-Wine-ebook/dp/B00SQ7SQ14/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1427665557<U+00A0>＃"
"215","This is for my only hater lol. Hope you're not suffering. #fingerscrossed #sarcastic #overit https://instagram.com/p/-npBCOPauH/<U+00A0>"
"216","ROFL. A #sarcastic or #justkidding or #dontbotherreplying hashtag could do the trick. https://twitter.com/JimmyNeesh/status/670476379557769216<U+00A0>＃"
"217","Lol.. I know a few people who find themselves in this position.
#awkward #sarcastic @Wonkette #ignoranceisnotbliss pic.twitter.com/MKhOiq9IsD"
"218","@RRoyalsHockey Could the camera we watch on @ECHL TV be any further from ice? #sarcastic #howboutcenteritaswell @SwampRabbits"
"219","Mens #Sarcastic Comment 'Loading' #Tshirt, teal. http://bit.ly/1LcCS8w<U+00A0>"
"220","I hate having to try and hide my double chin every time I take a selfie. It's such a hard life #sarcastic #truth #selfie"
"221","Oh yeah #sarcastic  #LateLateToyShow"
"222","@EricMBerndt I was being #sarcastic in my first tweet... sorry... :)"
