"text","link","reply","class"
"ArchdBanterbury ArchdBanterbury ArchdBanterbury DublinAnneD RT iiiincey shoutout Go follow  inceyExpect banter   footy",0,0,1
"ArchdBanterbury ArchdBanterbury ArchdBanterbury iiiincey shoutout Go follow  inceyExpect banter   footy talk LFC supp",0,0,1
"South Africans getting all out for  the critics dont slam the Kotla pitch too for poor quality wat say",1,0,1
"I'm bilingual bilingual fourlanguages english profanity  realshit lol",1,0,1
"Yep it was just workplace violence Nothing to see here move along folks",1,0,1
"please  keep breaking my heart for FitzSimmons  tearsontearsontears",1,0,1
"I can't wait for the investigation",0,1,1
"But hey remember it doesn't matter what we believe Our beliefs don't inform our actions Nope Nosiree",0,0,1
"I don't  really laid in to Global Warming pretty  out the middle man I say",1,0,1
"33 and spitting snow Oh",1,1,1
"Don't you just love how  loves America",1,0,1
"Ugh we ONLY added 211000 jobs in November Thanks Obama  ThanksObama",0,0,1
"Glad it's Huntsville and not Conroe",0,1,1
"21 Syrian refugees are arriving in Houston on Thursday I fully expect Texans to give them a warm welcome",0,0,1
"better get the WS ring finger ready",0,1,1
"ArchdBanterbury ArchdBanterbury DublinAnneD RT iiiincey shoutout Go follow  inceyExpect banter   footy talk LFC supp",0,0,1
"ArchdBanterbury ArchdBanterbury iiiincey shoutout Go follow  inceyExpect banter   footy talk LFC supporter LFCFamil",0,0,1
"Not sure what's worse the staged laughter by a tree or the laser beam background on school pics comedy",1,0,1
"You mean to say you didn't profit even after their 20 house rake  waste",0,1,1
"wow what a shock",0,1,1
"does not compute or translate well either",1,0,1
"swiftlang just did revolution in programming world Now need all rewrite on swift",0,0,1
"I really love working on days the office is half empty",0,0,1
"but don't you see the problem is we let terrorists into our country to illegally exploit our 2nd Amendment rights",0,1,1
"false SEC doesn't play defense that's how they win championships",0,1,1
"OMG the gas station I stopped at was playing '80s pop tunes instead of Christmas music WarOnChristmas",0,0,1
"Love playing my favorite game waiting for the neurologist It's my favorite pastime  noreallyitsSarcasm completesarcasm",0,0,1
"ArchdBanterbury DublinAnneD RT iiiincey shoutout Go follow  inceyExpect banter   footy talk LFC supporter LFCFamil",0,0,1
"It'll be the subtropical climate",0,1,1
"ArchdBanterbury iiiincey shoutout Go follow  inceyExpect banter   footy talk LFC supporter LFCFamily Ahahaha bante",0,0,1
"So how is 7year marriage of Homeland Security  PC Politics working out",1,0,1
"and amazing definitely two terms I'd put together  smh howquicklyweforget",1,1,1
"Just calm down Our president just said that this was an isolated workplace issue  delusional blindman globalwarming",0,0,1
"Love the fact that we need this guy Deano Blandino for rule reassurance after so many games this yr",0,0,1
"Love it when people upload photos of their Xmas trees",0,0,1
"Ek Feku Ek Shehzaada Ek Jokepal This country does indeed have a bright future doesn't it",1,0,1
"said 60 on Sunday Guess that means I have to decorate the outdoors imsoexcited",0,1,1
"Gun control would help And dern that workplace violence  demsaredumb",1,0,1
"My favorite part of Boulder is the amount of Subarus trying to be sports cars",0,0,1
"Workplace violence Nothing to see here",0,1,1
"Cat in the Stacks A Study in",1,0,1
"Yes  because I'd love to wipe my arse with your cummy tissue",0,0,1
"I thought BB was going to ask media if they wanted him to spell",0,0,1
"What a delightful dinner guest must invite him to my next 'rape is a compliment' themed party   douche",0,1,1
"Really Time Excited to recommend Dr Seuss to YAs  Top 10 YA Books of 2015",1,0,1
"They just added another year to the Pelfrey deal 3 years 24 million",0,0,1
"Seems like a rational response I guess",0,1,1
"DublinAnneD RT iiiincey shoutout Go follow  inceyExpect banter   footy talk LFC supporter LFCFamily Ahahaha bante",0,0,1
"iiiincey shoutout Go follow  inceyExpect banter   footy talk LFC supporter LFCFamily Ahahaha banter",0,0,1
"They are peaceful protesters",0,1,1
"Funny how your Man has become God in your life soooo who needs God when you have a Man I'll Wait  RethinkRelationships",0,0,1
"Nice to see  using such an attainable and realistic model size in their window  sizezero",1,0,1
"But yeah the United States is soooo bad  We live in such a bubble from the world People don't get it",0,1,1
"Shocker",1,0,1
"shoutout Go follow  Expect banter   footy talk LFC supporter LFCFamily",0,0,1
"Give up and adapt Is this climate change real estate agent for real",1,0,1
"Being sick during finals week is the best thing",0,0,1
"See we don't need as many guns",1,0,1
"Sarcastic people are more successful apparently We like the sound of this short read",1,0,1
"California has some of the strictest gun control in the nation How in the world could this happen there",0,1,1
"I'm so glad that my hardearned tax dollars go to pay these nutjobs  IStandWithPlannedParenthood",1,0,1
"dang I'm gonna miss wefense",0,1,1
"I'm so pleasant to be around when I haven't written in a while amwriting writing",0,0,1
"Banks the most concentrated accrual of valuable goods create no valuedisruption",1,0,1
"Patriotic Muslims like Nidal Hassan also joined the service and had a military ID",1,0,1
"Because presenting for campaigns wasn't stressful enough for today I had to add an interview before",0,0,1
"The Parisian terrorists were all French or Belgian so let's ban all the Syrians seemslegit",0,1,1
"or hire the wwe graphic team they do a top notch job",0,1,1
"So the female shooter in Cali stated her support for ISIS but I'm sure they are not linked  Wake up",0,0,1
"Clearly workplace violence solved by abolishing the 2nd Amendment",1,0,1
"Almost time for the work Xmas do Moderated drinking and sensible behaviour only of course  Xmas",0,0,1
"Channel with a malay slang  on purpose lol",0,0,1
"Oh no Spike You can't say that Personal responsibility What happened to Spike",1,0,1
"Yeah I'm pretty sure you don't run out of ideas just because you decide to work in an outpatient clinic",0,1,1
"I dunno about you but it seems like a great day to be outside Let's go shopping  nlwx yyt nltraffic",1,0,1
"Traveling the scenic route to the mall Why go the quickest route when you have bus of 11 adolescent/adult students with autism",0,0,1
"This  Lol IAmKnowlejRa",1,0,1
"I thought gun control was a bigger problem than ISIS  How could that be  tcot",0,1,1
"Lots of activity in my batch of chi2016 reviews",0,0,1
"Yeah just keep calling Notely a bitch that will definitely make her listen to you and repel bill 6",0,0,1
"what a surprise",0,1,1
"I see got you  But let me say one thing  WWE is sports entertainment not wrestling slaps wrist",0,1,1
"Thank goodness we haven't let any of those Syrian Refugees  could be ISIS terrorist",1,1,1
"oh yeah everyday I pray for something like that to happen because more work is what I want to spend my time doing",0,1,1
"this is just an Obama plot to get us to want gun control Government mind control won't work on me DontTreadOnMe",0,1,1
"OMG what a shock Who'd have ever seen this coming  SanBernadino terroristattack SanBernadinoShooting",1,0,1
"I guess that makes me Doctor Octopus",1,0,1
"is defending an amendment that nobody plans to repeal Smart",0,1,1
"oh but gang shootings do not have political goals so they are not an acts of terrorism",0,1,1
"Hidden treasure chest sea art artbook humorart humor  penart life treasure",1,0,1
"Edge of glory abstractdoodles doodles doodling abstractart abstract sketchbook",1,0,1
"Good to see the GOP has their focus on the most pressing issues of the day",0,1,1
"But but I thought it was about having so many guns in America It couldn't be a terror attack Islam is amazing",0,1,1
"So many republicans thought my babies are humans tweet was serious instead of the snarky  it was",0,0,1
"Spending my day off in a dealership Lucky me  atleastitsnice",1,0,1
"Yeah but so what Poor people are just lazy If they'd work hard they could get a new home elsewhere",1,0,1
"One WHOLE day off how did I get so lucky Aloha onedayoffonly",0,0,1
"You know what's fun Getting to Kroger and realizing that you left your debit card at home when you get to the front of the line",0,0,1
"And a stydia v Stalia question already Yay",0,0,1
"Let the 24hrs begin Yay",0,0,1
"Gotta love Republicans",1,0,1
"Well I can tell already that this will be a productive work day",0,0,1
"lmao  You're such an ass   Maybe he blocked the wrong natev15",0,1,1
"Early morning debating of plural and singular possessive  stuff",1,0,1
"Anyone seen sugar sacks lately in Moscow apartment buildings",1,0,1
"Dear  thank you for addressing the real issues by defunding Planned Parenthood  not passing common sense gun laws",0,0,1
"Or you know email their boss about their Twitter account",0,0,1
"Canada What a great country NOT  cdnpoli qcpoli polqc polcan bilinguisme bilingualism",1,0,1
"Just another NYC load in My favorite part of the job  setlife production nyc",1,0,1
"God how could u not know that skinny girls with low muscle mass and low body fat thrive in the wilderness",0,1,1
"WHOOOSSSHHHH",0,1,1
"Here you go",1,1,1
"bluntcard  funnyblog blogger funnyillustration quotes frases divertidas ohjappy learn your place",1,0,1
"he's black and can run He's the best",0,1,1
"Trump is going to be here in Raleigh today Ohhh joy  politics",0,0,1
"Cant think of a better way to celebrate the NFLs 50th Super Bowl than having a British band play the halftime show",0,0,1
"LOVE BEING IGNORED LOL THANKS FOR THE ACKNOWLEDGMENT",0,0,1
"5000 from a billion dollar company Great people over there are Comcast",0,1,1
"Unbelievable Thanks jerk Not trying to teach or anything",0,0,1
"And having a large amount of beer doesn't mean you're planning to get drunk",1,0,1
"Mutant and proud to have studied from the best hinglish imparting university Oxford here we come",1,0,1
"Im a journalist Evan I dont answer questions I ask them Its Hammer and Es show anyways",0,1,1
"that's essentially saying we should all just give up cause we are doomed anyway suchgoodchoices",0,1,1
"You don't say",0,1,1
"its a good thing you didn't steal that from NYDN or anything",0,1,1
"More like I'm caught in a bad Bro/SismanceNP Bad Romance Lady GagaOh look It's  /so/ made",1,0,1
"You mean you don't think Dave Odom was their first choice",0,1,1
"Kenta Madea to the Jays you heard it here first",0,0,1
"It's a really good thing I know where the secret dumpster is",0,0,1
"that's what all women are for after all",0,1,1
"Another month of solid robust jobs growth numbers in  supposedly disintegrating Socialist Republic of Obama USA JobsReport",0,0,1
"Duh of course awkward girls in Taiwanese movies  shows wear glasses Awkwardness causes nearsightedness right  Stereotype",0,0,1
"Row 28 at least I am seated toward the front No that is in the back Sarcasm is so difficult",0,0,1
"Wow his profile is so professional though",0,1,1
"Well you just are not a true diehard Disney fan then LOL",0,1,1
"The old Roli's venue on Taylor is now Imperial Palace f0U009FU0099U0084f0U009FU0099U0084 nice to see more businesses opening up in Laredo",0,0,1
"Wondering if my 3 day order which cost 5 to send from  will be here before Christmas Only been waiting 7 days  counting",0,0,1
"You tell me to go to hell Bitch please  I run that joint Lol  SnappyComebacks",0,0,1
"make it illegal  I am sure they would use honor system  not buy them off streets",0,1,1
"Hey wear your brain It suits you very well",0,0,1
"mean Trump LIED  Naah  That can't be",1,1,1
"How is Bo Pelini not interviewing for all these open cfb jobs He guarantees 9 wins every year according to my tv  freemarket gbr",0,0,1
"It's said that  is the lowest form of wit To that I say No really Hey somebody give this person a Nobel peace prize",0,0,1
"Not an AlDub fan Not at all AlDub Anu yun LOL  ALDUBDeExplorerTrials",1,0,1
"Dilwale JanamJanam Kajol looks like a firangi What a transformation think Baazigar",0,0,1
"Can't wait till we pass some new gun control laws That'll show 'em guncontrol",0,0,1
"Smh Even our Muslim president recognizes Christmas Take note Starbucks",1,0,1
"I was on GB 25 easy money",0,1,1
"This is so true for me that it shows up in my writing amwriting",1,0,1
"Can't sympathise with the 'Moron' element threatening MPs with online violence Besides that is what abject  was invented to do",0,0,1
"How did I get so lucky to have a husband and a baby who thrash all night while they sleep",0,0,1
"How dare anyone ever try to make money off their art talents God forbid it's also money made from porn patreongate",0,1,1
"thanks for delivering my package at 630am this morning and leaving it on my porch for anyone to take No bell no knock",0,1,1
"good job stopping terrorist attacks here in the USA  SleeperCells got the call to attack in California wakeup",0,1,1
"since I havent seen you answer this question yet will the press conference be broadcasted",0,1,1
"Hell you mean they were terrorist  Doesn't all young couples have a bomb lab in thier garage  SanBernadino",0,0,1
"you notice how no one is hardly in Kentucky yeah that's those background checks Obama told us would work lol",0,1,1
"on   with his usual dose of  and wit  on Why ArtBasel is The Worst",1,1,1
"Here's the secret I learned about being happyhappiness happy memory  humor",1,0,1
"really The previews were so good",0,1,1
"Your highness  your Judgement is Supreme Ur brilliance  What to say",0,1,1
"compliments me all the time fair play  useless",0,1,1
"Oops Love On Top by the evil Beyonce is playing on my  Daniel Bad Such a bad song this is right  get it",1,0,1
"Click baiting again and reporting without any real facts on something that is a none story Journalism at its best",0,1,1
"Yeah I think I love youBut sorryI already have WiFi",0,0,1
"The ramp from 33 to 70 is my absolute favorite f0U009FU0099U0083",0,0,1
"You guys if we just love the terrorists enough they'll stop I mean who are we to tell them their way of life is wrong",0,0,1
"oyee Yeah that makes a lot of sense  This couple had thousands of rounds of ammunition pipe bombs  a variety of guns",1,0,1
"I have to get ready for the day's torture session What joy",0,0,1
"If u are going to commit a hate crime it is probably best to make sure you can properly identify the people u hate",0,1,1
"I dont care its 7 in the morning i listen to bass music and the people who work with me love it so much",0,0,1
"ah I finally got some time to read what the NSC bill is Wow I didn't know we're on our way to becoming Panem",0,0,1
"10 Ways Sarcasm Makes You A Better Person",1,0,1
"I always get to work early and sit in my truck till I have to clock in and sit at my desk all day thestruggleisreal  engineers",0,0,1
"Ooooh how can I possibly resist now I know it's his car  foundontinder tinderprofile onlinedating nope",1,0,1
"Woke up with hip pain Yesssss My day is made",0,0,1
"People in the states are idiots  guns solve everything",1,0,1
"RT OHammad LoL  being sarcastic",1,0,1
"'Don't go to Oldham in the UK it's full of terrorist sympathisers'",0,0,1
"LoL  being sarcastic",1,0,1
"Oh no what would we do without Shrek",0,1,1
"Don't date a hoe Only sarcasmonly Retweet",1,0,1
"I like it when they get the facts and then lie to us for weeks",0,1,1
"I can't believe they are going to do an all white version of Dolly Parton's family for CoatOfManyColors  whyarepeoplesodumb",0,0,1
"What is Africa offering China It's a partnership isn't it It's not begging for alms right ChinaAfrica Nigeria Africa",0,0,1
"So comforting  TheEndIsNear gop",1,0,1
"How dare an employer want to give their employees a night out at Christmas as a thank you for their hard work",0,0,1
"Yes TO police is on a rampage killing Torontonians",0,1,1
"Ridiculous closing the Forth bridge Much better to wait for it to collapse causing drivers to plunge into the water",0,1,1
"im really looking forward to seeing who is next aslong as its not me",0,1,1
"Callon is back  intact Check out the Allegiance sample on bookbuzzr mustread fantasy dragon",1,0,1
"Look awful things were in Beijing when they implemented alternate day driving",1,0,1
"there shitAll about Bill Duffy boys",0,1,1
"Oh hello Friday I wasn't excited to see you at all  IAMINLOVEWITHYOUFRIDAY",0,0,1
"I'm the ONLY person who knows what  is guy who got caught saying something stupid and had to invent sarcasm",0,0,1
"Don't you know that everything in America was changed by thoughts and prayers It the only way things get done",0,0,1
"LOL  I love it",1,0,1
"Dilwale JanamJanam kajol looks like a firangi What a transformation  DollopofSalt",0,0,1
"My neighbours are smoking pot at 830AM healthy",0,0,1
"Never settle for the regular truth when you can have the shocking truth Clickbait",0,0,1
"Seems a bit disproportionate no Surely they could have been taken into custody SanBernadino",1,0,1
"I LOVE getting attached to people that leave",0,0,1
"Oh for fk sakes I really need to get a job where I'm not considered an essential service  liquorstoreisnotessential nlwx",0,0,1
"I love hardware designed and made by software guys",0,0,1
"Twitter hates George Osborne shame",1,0,1
"Me putting up with people's shitdonewithyourshitm8  okm8",1,0,1
"or u can learn what is",0,1,1
"So you hate gays I'm not but since you thought that was an insultit makes you a piece of shit Congrats KKK",0,1,1
